electricity_price_usd_per_kwh,npv_usd,roi_percent,payback_years
0.06,165815.49778104422,160.0,7.6923076923076925
0.07,322905.85630023293,213.33333333333337,6.382978723404254
0.08,479996.2148194215,266.66666666666663,5.454545454545454
0.09,637086.5733386101,320.0,4.761904761904762
0.1,794176.9318577985,373.3333333333333,4.225352112676056
0.11,951267.2903769873,426.6666666666667,3.7974683544303796
0.12,1108357.6488961752,480.0,3.4482758620689653
0.13,1265448.0074153645,533.3333333333333,3.1578947368421053
0.14,1422538.365934553,586.6666666666667,2.9126213592233006
0.15,1579628.7244537412,640.0,2.7027027027027026
0.16,1736719.0829729303,693.3333333333334,2.5210084033613445
0.17,1893809.4414921189,746.6666666666666,2.3622047244094486
0.18,2050899.800011307,800.0,2.2222222222222223
0.19,2207990.158530496,853.3333333333334,2.097902097902098
0.2,2365080.5170496837,906.6666666666666,1.9867549668874172
0.21,2522170.8755688732,960.0,1.8867924528301887
0.22,2679261.234088062,1013.3333333333333,1.7964071856287425
0.23,2836351.59260725,1066.6666666666665,1.7142857142857142
0.24,2993441.951126438,1120.0,1.639344262295082
